,jobUrl,job title,company_name,position,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Description,Job Requirement,Company Profile,Publish Date,Closing Date,Contact Info
0,https://www.camhr.com/a/job/10012993,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
1,https://www.camhr.com/a/job/10012992,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
2,https://www.camhr.com/a/job/10012991,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
3,https://www.camhr.com/a/job/10012990,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
4,https://www.camhr.com/a/job/10012989,Receptionist,Deam Computer International Pte Ltd,Receptionist,Middle,2,1,Negotiable ,Female ,18 ~ 25,"
          Full Time
        ","
          Administration
        ","
          Industrial Machinery/Automation Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ",#NAME?,"- 2 years Experienced in reception job
- Good inter personal and public relation skills
- Be able to use Ms. Office (MS. Word, Excel)Internet and Email (Outlook)
- Very good to communicate in English
- Be Honest and hardworking

Note:the candidates do not meet the requirement as above,will be not considered.",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information Ms. Bo Bunnary HR Manager 015 575700 No.29ABC, Preah Sihanouk Boulevard, Phnom Penh, Cambodia  015 575700"
5,https://www.camhr.com/a/job/10012988,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
6,https://www.camhr.com/a/job/10012987,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
7,https://www.camhr.com/a/job/10012986,Sales Representative,WING Bank (Cambodia) Plc,Sales Representative,~,~,1,Negotiable ,~,Age Unlimited,"
          ~
        ","
          Sales
        ","
          General Business Services
        ","
          ~
        ","
          ~
        ","
          Banteay Meanchey
        ","•	Achieve sales target. 
•	Recruit and train merchant.
•	Managing quality of merchant network to ensure fulfills customer expectation.
•	Gather feedback and provide constructive solution to line manager. 
","•	Proven success in communicating effectively to all points of contact with customers, including liaison with supervisor.
•	Experience in selling to customers based in a diverse range of industries.
•	Ability to work effectively in a team environment.
•	Degree qualified in appropriate discipline.
","Wing Bank (Cambodia) Plc – the bank for every Cambodian – is driven by the vision to provide every Cambodian with convenient access to financial services relevant to, and for the improvement of their daily lives.

Wing Bank has revolutionized the way Cambodians access financial services by introducing instant, secure, and convenient Mobile Financial Services since 18 August 2008.

Today, Wing Bank serves the entire Cambodian population with 100% coverage of the districts in Cambodia thanks to the innovative Wing Bank App, over 10,000 Wing Cash Xpress agents, over 55,000 merchants, and partnerships with industry giants such as Mastercard, MoneyGram, AliPay, WeChat Pay, Western Union, Visa, and Ria.

Wing Bank provides an array of advanced financial products both for individual and corporate customers. These include loans, deposits, micro savings, credit referral services, money transfers, utility and insurance payments, supply chain payments, payroll services and even phone top-ups. In addition, Wing offers retail payments via “WingPay”, and has also introduced the “WingMall” e-commerce platform.

Both small and large companies alike are now using Wing’s payroll and disbursement services, speeding up their payments. Over 80% of Wing’s agents and 50% of customers are women, making Wing a shining example of gender inclusion in the region.

Wing Bank is committed to providing financial, gender and digital inclusion to the unbanked and the under-banked, allowing every Cambodian to enjoy convenience and security when it comes to financial services",Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information HR Department   078 988 290 / 078 989 509 / 078 989 114 No 30, St. 432, Sangkat Toul Tum Poung I, Khan Chamkar Mon, Phnom Penh, Cambodia   078 988 290 / 078 989 509 / 078 989 114"
8,https://www.camhr.com/a/job/10012985,sale,Avacas Water,sale,~,~,10,Negotiable ,Male,18 ~ 25,"
          Full Time
        ","
          Sales
        ","
          Electronics/Electrical/Mechanical Equipment
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ","
-To communicate directly with customers old and new
-Search for copy shops, schools and factories
-Promote, sell and rent products
-For students have priority to apply, have no experience","- Must student in University
- Good communication with customers
- Working, honest and reliable
- Can read, write and speak English
- Flexible and creative circumstances
- Custom Motorcycles


Send E-mail by eiveasna@viscopiers.com
#33A-B, 193, Phnom Penh, Cambodia",,Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information 096/097 494 494 6 Marketing Manager 097 494 494 6 Address: # 33A-B, Street 193, Phnom Penh  097 494 494 6"
9,https://www.camhr.com/a/job/10012984,Sale Representative for Siem Reap Branch,LSH (CAMBODIA) PTE. LTD,Sale Representative for Siem Reap Branch,Entry Level,~,4,Negotiable ,~,Age Unlimited,"
          Full Time
        ","
          Sales
        ","
          Food & Beverages
        ","
          High School
        ","
          English-- Fair
        ","
          Siem Reap
        ","To serve customers by selling products; meeting customer needs both in Foot Service & Retail.

- Services existing accounts, obtain orders, and establishes new accounts by planning and organizing and daily work schedule to call on existing or potential customers and other trade in given territory;
- To execute monthly marketing activities & execution of Point of Sale Materials(POSM) in market  place;
- Focuses sales efforts by studying existing and potential volume of customers and meeting monthly sale target by selling and distributing company range of product;
- Submit order by referring to price lists and collection from customers;
- Keep management informed by submitting activities and result report, such as daily sales report, monthly plan, and monthly and annual territory analysis;
-Monitor competition by gathering current marketplace information on pricing, products, new product, market activities;
- Recommend change in products, service, and policy, by evaluating results and competitive development;
- Resolve customer complaints;
- Provide historical records by maintaining records on area and customer sales;
- Contribute to team effort by accomplishing related results as needed;
- Merchandising company products in the market place;
","- Candidate must possess at least a Diploma, Advance/Higher/Graduate Diploma, Food & Beverage Services Management, Business Studies/Administration/Management, Marketing; Food Technology/Nutrition/Dietetics or equivalent.
- Require skill(s): computer literate, possess own vehicle;
- Required language(s) Khmer & English;
- Fresh graduate/Entry  level applications are encouraged to apply;
- 4 Full-time position(s) available,  2 for Retail Sale & 2 for Food Service;

Please send your CVs (with photo) and cover letter before 24th November, 2013 to: 
Mr. Hong Ron
E-Mail: recruitment@lshcambodia.com 
Tel: 017 54 57 36
Only short-listed applicants will be contacted for interview.
","LSH Cambodia was estabished in February 1999 to tap into the emerging market in Cambodia.

Since then, we have steadily built its reputation into one of the leading Food Importer and Distributor in the Kingdom of Cambodia.

Over the past years, the Company, with its perseverance, hard work, and committed team, has continued to invest in equipment and storage facilities, manpower training and a strong market presence to become an essential player in the market.",Publish Date：Nov-28-2013,Closing Date：Dec-28-2013,"Contact Information Mr. Hong Ron  017 54 57 36 Phnom Penh No.223H/223G, St. 598, Phnom Penh, Kingdom of Cambodia.  017 54 57 36"
